Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender,TeamSheet,FM_Mevki,FM_Rol,FM_Rol_Base,FM_Rol_Gorev,MevkiGroup,top_calma_p90,kayarak_mudahale_p90,uzaklastirma_p90,ikili_mucadele_kazanma_yuzde,hava_topu_kazanma_yuzde,orta_sayisi_p90,sut_p90,asist_p90_sentetik,xA_p90_sentetik,dribbling_p90,kilit_pas_p90,ara_pas_p90,uzun_pas_p90,sahipsiz_top_kazanma_p90,hava_topu_mucadele_p90,xG_p90_sentetik,pas_isabet_yuzde,kaleci_sut_karsilama_yuzde,kaleci_kurtaris_sayisi_p90,kaleci_pas_isabet_yuzde,kaleci_sahipsiz_top_kazanma_p90,kaleci_yenilen_gol_p90,xG_p90_common,xA_p90_common,Rank,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Defans_Skoru,OyunKurucu_Skoru,Hucum_Skoru,Kaleci_Skoru,Overall_Skoru
Ismaël Bennacer,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,dz ALG,MF,Milan,it Serie A,25,1997,20,13,1151,12.8,2,2,4,1,1,1,2,0,1.7,0.9,2.5,3.3,24,68,33,0.16,0.16,0.31,0.08,0.23,0.13,0.19,0.32,0.07,0.26,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Saïd Benrahma,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,dz ALG,"FW,MF",West Ham,eng Premier League,27,1995,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1.0,1.4,2.5,28,28,70,0.00,0.15,0.15,0.00,0.15,0.27,0.21,0.47,0.15,0.36,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Saïd Benrahma,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,dz ALG,"FW,MF",Lyon,fr Ligue 1,27,1995,12,10,770,8.6,3,3,6,3,0,0,2,0,1.6,1.6,3.6,5.2,46,34,113,0.35,0.35,0.70,0.35,0.70,0.19,0.42,0.61,0.19,0.61,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Ramy Bensebaini,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279,dz ALG,DF,Dortmund,de Bundesliga,28,1995,17,11,1033,11.5,0,0,0,0,0,0,4,1,1.7,1.7,0.4,2.1,17,75,63,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Nabil Bentaleb,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,dz ALG,MF,Lille,fr Ligue 1,28,1994,26,23,1967,21.9,0,3,3,0,0,0,7,0,0.4,0.4,0.9,1.2,11,136,17,0.00,0.14,0.14,0.00,0.14,0.02,0.04,0.06,0.02,0.06,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Rodrigo Bentancur,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,uy URU,MF,Tottenham,eng Premier League,26,1997,23,13,1005,11.2,1,1,2,1,0,0,7,0,1.9,1.9,0.5,2.4,16,72,31,0.09,0.09,0.18,0.09,0.18,0.17,0.04,0.22,0.17,0.22,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Daniel Bentley,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,eng ENG,GK,Wolves,eng Premier League,30,1993,5,3,383,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Lucas Beraldo,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283,br BRA,DF,Paris S-G,fr Ligue 1,19,2003,13,12,1008,11.2,1,0,1,1,0,0,4,1,1.0,1.0,0.2,1.2,7,44,2,0.09,0.00,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Domenico Berardi,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,it ITA,FW,Sassuolo,it Serie A,28,1994,17,17,1431,15.9,9,3,12,4,5,5,6,0,6.5,2.6,3.0,5.6,38,83,123,0.57,0.19,0.75,0.25,0.44,0.41,0.19,0.60,0.16,0.35,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
Yuri Berchiche,,,0.0,0.0,0.0,,,,,,,,,MID,0.0,,0.0,50.0,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285,es ESP,DF,Athletic Club,es La Liga,33,1990,27,22,1930,21.4,3,1,4,3,0,0,5,0,0.9,0.7,1.6,2.4,36,132,77,0.14,0.05,0.19,0.14,0.19,0.04,0.08,0.12,0.03,0.11,3.709462576238823,1.2619742469915254,0.0,0.0,1.7438258963674096
