Standard Stats 2025-2026 Galatasaray,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
Ahmed Kutucu,tr TUR,"FW,MF",25-269,5,0,67,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,0.00,1934-01-01 00:00:00,1934-01-01 00:00:00,0.00,1934-01-01 00:00:00,0.04,0.00,0.04,0.04,0.04,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Berkan Kutlu,tr TUR,MF,27-304,7,0,62,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,1945-01-01 00:00:00,1945-01-01 00:00:00,0.00,1945-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,Matches
Nicolò Zaniolo,it ITA,"FW,MF",26-146,4,0,54,0.6,0,1,1,0,0,0,0,0,,,,,,,,0.00,1967-01-01 00:00:00,1967-01-01 00:00:00,0.00,1967-01-01 00:00:00,,,,,,Matches
Arda Ünyay,tr TUR,DF,18-311,3,0,46,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yusuf Demir,at AUT,MF,22-176,1,0,29,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Metehan Baltacı,tr TUR,DF,23-022,2,0,26,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ahmet Şen,tr TUR,GK,26-295,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jankat Yilmaz,tr TUR,GK,21-101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Elias Jelert,dk DEN,DF,22-166,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gökdeniz Gürpüz,tr TUR,MF,19-273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Furkan Koçak,tr TUR,MF,17-268,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Çağrı Balta,,FW,17-194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
