Goalkeeping 2025-2026 Eyüpspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
Become a Stathead & surf this site ad-free.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Playing Time 2025-2026 Eyüpspor: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,,
Robin Yalçın,de GER,DF,31-288,11,990,90,100.0,11.0,11,90,11,0,,0,0.73,6,14,-8,-0.73,,Matches,,
Kerem Demirbay,de GER,MF,32-129,11,973,88,98.3,2025-08-10 00:00:00,11,88,7,0,,0,0.73,5,14,-9,-0.83,-6.13,Matches,,
Marcos Felipe,br BRA,GK,29-210,10,900,90,90.9,10.0,10,90,10,0,,0,0.80,5,10,-5,-0.50,+2.50,Matches,,
Nihad Mujakić,ba BIH,DF,27-208,11,899,82,90.8,10.0,10,90,9,1,2,0,0.73,6,13,-7,-0.70,+0.29,Matches,,
Luccas Claro,br BRA,DF,34-038,10,841,84,84.9,2025-03-09 00:00:00,10,84,9,0,,0,0.80,6,12,-6,-0.64,+0.57,Matches,,
Serdar Gürler,tr TUR,"MF,FW",34-056,11,756,69,76.4,2025-04-08 00:00:00,10,73,1,1,23,0,0.73,4,10,-6,-0.71,+0.05,Matches,,
Lucas Calegari,br BRA,"DF,MF",23-255,9,773,86,78.1,2025-06-08 00:00:00,9,86,7,0,,0,0.89,5,7,-2,-0.23,+2.26,Matches,,
Yalçın Kayan,tr TUR,MF,26-283,11,678,62,68.5,2025-05-07 00:00:00,9,69,1,2,31,0,0.73,4,7,-3,-0.40,+1.04,Matches,,
Mame Baba Thiam,sn SEN,FW,33-031,9,743,83,75.1,2025-03-08 00:00:00,8,87,6,1,45,0,0.78,5,10,-5,-0.61,+0.49,Matches,,
Denis Drăguș,ro ROU,"MF,FW",26-126,7,515,74,52.0,2025-07-05 00:00:00,6,78,2,1,45,1,0.71,4,8,-4,-0.70,+0.06,Matches,,
Svit Sešlar,si SVN,"MF,FW",23-304,8,515,64,52.0,2025-07-05 00:00:00,6,79,3,2,20,2,1.00,3,5,-2,-0.35,+0.79,Matches,,
Halil Akbunar,tr TUR,"MF,FW",32-000,8,402,50,40.6,2025-05-04 00:00:00,5,60,0,3,35,2,0.50,3,7,-4,-0.90,-0.28,Matches,,
Umut Meraş,tr TUR,"DF,MF",29-324,6,353,59,35.7,2025-09-03 00:00:00,4,73,0,2,31,2,0.17,0,3,-3,-0.76,-0.06,Matches,,
Mateusz Łęgowski,pl POL,MF,22-284,6,344,57,34.7,2025-08-03 00:00:00,4,74,1,2,25,1,0.67,2,3,-1,-0.26,+0.71,Matches,,
Prince Obeng Ampem,gh GHA,MF,27-210,11,387,35,39.1,2025-03-04 00:00:00,2,88,1,9,23,0,0.73,2,7,-5,-1.16,-0.72,Matches,,
Umut Bozok,tr TUR,FW,29-051,10,262,26,2025-05-26 00:00:00,2025-09-02 00:00:00,2,66,0,8,16,1,0.70,2,5,-3,-1.03,-0.41,Matches,,
Emre Akbaba,tr TUR,MF,33-036,9,200,22,2025-02-20 00:00:00,2025-02-02 00:00:00,1,45,0,8,19,0,0.78,1,6,-5,-2.25,-1.91,Matches,,
Melih Kabasakal,,MF,29-264,3,105,35,2025-06-10 00:00:00,2025-02-01 00:00:00,1,45,0,2,30,0,1.00,1,5,-4,-3.43,-3.02,Matches,,
Berke Özer,tr TUR,GK,25-168,1,90,90,2025-01-09 00:00:00,1.0,1,90,1,0,,0,0.00,1,4,-3,-3.00,-2.50,Matches,,
Talha Ulvan,be BEL,DF,24-203,2,66,33,2025-07-06 00:00:00,0.7,1,45,0,1,21,9,0.50,0,3,-3,-4.09,-3.60,Matches,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,,
Taras Stepanenko,ua UKR,MF,36-093,2,42,21,2025-02-04 00:00:00,0.5,0,,0,2,21,4,1950-01-01 00:00:00,1,0,1,+2.14,+3.00,Matches,,
Ilter Tashkin,az AZE,MF,31-127,4,34,9,2025-04-03 00:00:00,0.4,0,,0,4,9,6,2025-01-01 00:00:00,0,1,-1,-2.65,-1.99,Matches,,
Emir Ortakaya,tr TUR,DF,21-140,1,14,14,2025-04-01 00:00:00,0.2,0,,0,1,14,10,0.00,0,0,0,0.00,+0.74,Matches,,
Metehan Altunbaş,tr TUR,FW,22-306,2,7,4,0.7,0.1,0,,0,2,4,2,0.50,0,0,0,0.00,+0.73,Matches,,
Mete-Kaan Demir,tr TUR,FW,27-180,1,1,1,0.1,0.0,0,,0,1,1,1,0.00,0,0,0,0.00,+0.73,Matches,,
Hamza Akman,tr TUR,MF,21-043,0,,,,,0,,0,0,,4,,,,,,,Matches,,
Cengiz Köseer,tr TUR,GK,22-312,0,,,,,0,,0,0,,3,,,,,,,Matches,,
Gilbert Mendy,sn SEN,DF,21-004,0,,,,,0,,0,0,,1,,,,,,,Matches,,
Halil Yeral,tr TUR,GK,25-312,0,,,,,0,,0,0,,2,,,,,,,Matches,,
Jankat Yilmaz,tr TUR,GK,21-085,0,,,,,0,,0,0,,6,,,,,,,Matches,,
Squad Total,,,2025-06-29 00:00:00,11,990,90,100,11.0,121,81,69,53,21,57,0.73,6,14,-8,-0.73,,,,
Opponent Total,,,2025-03-28 00:00:00,11,990,90,100,11.0,121,81,72,49,17,57,2025-09-02 00:00:00,14,6,8,+0.73,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Stats 2025-2026 Eyüpspor: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,,,,,
Robin Yalçın,de GER,DF,31-288,11.0,0,0,0,4,9,2,4,8,8,,,0,Matches,,,,,,
Kerem Demirbay,de GER,MF,32-129,2025-08-10 00:00:00,3,0,0,13,14,0,65,18,13,,,0,Matches,,,,,,
Marcos Felipe,br BRA,GK,29-210,10.0,0,0,0,0,2,0,0,0,0,,,0,Matches,,,,,,
Nihad Mujakić,ba BIH,DF,27-208,10.0,2,0,0,8,10,1,6,10,7,,,0,Matches,,,,,,
Luccas Claro,br BRA,DF,34-038,2025-03-09 00:00:00,1,0,0,9,13,1,0,12,5,,,0,Matches,,,,,,
Serdar Gürler,tr TUR,"MF,FW",34-056,2025-04-08 00:00:00,1,0,0,3,11,2,24,6,6,,,0,Matches,,,,,,
Lucas Calegari,br BRA,"DF,MF",23-255,2025-06-08 00:00:00,1,0,0,7,18,0,20,5,9,,,0,Matches,,,,,,
Yalçın Kayan,tr TUR,MF,26-283,2025-05-07 00:00:00,2,0,0,12,15,1,26,4,5,,,0,Matches,,,,,,
Mame Baba Thiam,sn SEN,FW,33-031,2025-03-08 00:00:00,3,0,0,15,8,11,5,3,4,,,0,Matches,,,,,,
Denis Drăguș,ro ROU,"MF,FW",26-126,2025-07-05 00:00:00,3,0,0,13,15,1,7,1,7,,,0,Matches,,,,,,
Svit Sešlar,si SVN,"MF,FW",23-304,2025-07-05 00:00:00,0,0,0,3,9,1,8,4,3,,,0,Matches,,,,,,
Halil Akbunar,tr TUR,"MF,FW",32-000,2025-05-04 00:00:00,0,0,0,3,4,7,9,2,5,,,0,Matches,,,,,,
Umut Meraş,tr TUR,"DF,MF",29-324,2025-09-03 00:00:00,1,0,0,2,3,1,10,8,3,,,0,Matches,,,,,,
Mateusz Łęgowski,pl POL,MF,22-284,2025-08-03 00:00:00,1,0,0,5,8,0,3,0,2,,,0,Matches,,,,,,
Prince Obeng Ampem,gh GHA,MF,27-210,2025-03-04 00:00:00,3,0,0,6,8,3,16,5,3,,,0,Matches,,,,,,
Umut Bozok,tr TUR,FW,29-051,2025-09-02 00:00:00,2,0,0,8,8,1,0,0,1,,,0,Matches,,,,,,
Emre Akbaba,tr TUR,MF,33-036,2025-02-02 00:00:00,1,0,0,5,5,2,7,2,4,,,0,Matches,,,,,,
Melih Kabasakal,,MF,29-264,2025-02-01 00:00:00,0,0,0,1,0,0,0,3,4,,,0,Matches,,,,,,
Berke Özer,tr TUR,GK,25-168,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,,,,,,
Talha Ulvan,be BEL,DF,24-203,0.7,0,0,0,0,2,0,3,1,2,,,0,Matches,,,,,,
Taras Stepanenko,ua UKR,MF,36-093,0.5,0,0,0,1,0,0,0,1,1,,,0,Matches,,,,,,
Ilter Tashkin,az AZE,MF,31-127,0.4,0,0,0,1,0,0,0,0,2,,,0,Matches,,,,,,
Emir Ortakaya,tr TUR,DF,21-140,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,,,,,,
Metehan Altunbaş,tr TUR,FW,22-306,0.1,1,0,0,2,1,0,0,0,0,,,0,Matches,,,,,,
Mete-Kaan Demir,tr TUR,FW,27-180,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches,,,,,,
Squad Total,,,2025-06-29 00:00:00,11.0,25,0,0,121,163,34,213,93,95,,,0,,,,,,,
Opponent Total,,,2025-03-28 00:00:00,11.0,25,0,0,167,114,27,177,70,118,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note",,,,,,,,,,,,,,,,,,,,,,,
