Goalkeeping 2025-2026 Kayserispor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Squad Total,,,2025-05-29 00:00:00,11.0,11,135,48,35.6,2027-12-01 00:00:00,1936-04-01 00:00:00,0.08,0.23,,0,0,,,,,,,,
Opponent Total,,,2025-01-28 00:00:00,11.0,24,142,64,45.1,1991-12-01 00:00:00,1982-05-01 00:00:00,0.15,0.34,,2,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
Advertisement: 0:18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Playing Time 2025-2026 Kayserispor: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,,
Lionel Carole,fr FRA,DF,34-211,10,900,90,90.9,10.0,10,90,10,0,,0,0.80,9,22,-13,-1.30,-1.30,Matches,,
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",31-143,10,899,90,90.8,10.0,10,90,9,0,,0,0.60,8,22,-14,-1.40,-2.39,Matches,,
Stefano Denswil,sr SUR,DF,32-186,10,876,88,88.5,2025-07-09 00:00:00,10,88,9,0,,0,0.90,10,20,-10,-1.03,+1.34,Matches,,
Ramazan Civelek,tr TUR,"DF,MF",29-291,11,827,75,83.5,2025-02-09 00:00:00,10,80,5,1,29,0,0.82,9,17,-8,-0.87,+1.89,Matches,,
Bilal Bayazit,nl NED,GK,26-215,9,810,90,81.8,9.0,9,90,9,0,,1,0.56,7,21,-14,-1.56,-2.06,Matches,,
László Bénes,sk SVK,MF,28-061,9,726,81,73.3,2025-01-08 00:00:00,8,87,6,1,29,0,0.67,8,15,-7,-0.87,+1.18,Matches,,
Aaron Opoku,de GER,"MF,FW",26-226,11,593,54,59.9,2025-06-06 00:00:00,7,66,1,4,32,0,0.82,9,17,-8,-1.21,-0.08,Matches,,
Dorukhan Toköz,tr TUR,MF,29-172,11,591,54,59.7,2025-06-06 00:00:00,7,67,1,4,30,0,0.82,7,15,-8,-1.22,-0.09,Matches,,
João Mendes,pt POR,MF,31-019,8,565,71,57.1,2025-03-06 00:00:00,6,82,2,2,36,1,1.00,8,10,-2,-0.32,+2.01,Matches,,
German Onugkha,ru RUS,FW,29-126,7,558,80,56.4,2025-02-06 00:00:00,6,88,5,1,31,0,1.00,9,12,-3,-0.48,+1.60,Matches,,
Furkan Soyalp,tr TUR,MF,30-150,7,453,65,45.8,5.0,5,84,2,2,18,0,1.00,5,13,-8,-1.59,-0.75,Matches,,
Abdulsamet Burak,,DF,29-180,8,375,47,37.9,2025-02-04 00:00:00,5,63,0,3,21,3,1.00,0,7,-7,-1.68,-0.80,Matches,,
Carlos Mané,gw GNB,MF,31-243,8,344,43,34.7,2025-08-03 00:00:00,5,59,0,3,16,0,0.88,3,9,-6,-1.57,-0.59,Matches,,
Gideon Jung,de GER,"MF,DF",31-058,4,303,76,2025-06-30 00:00:00,2025-04-03 00:00:00,4,76,2,0,,2,0.50,1,9,-8,-2.38,-1.72,Matches,,
Indrit Tuci,al ALB,FW,25-056,8,363,45,36.7,4.0,3,78,1,5,26,3,0.75,3,8,-5,-1.24,-0.09,Matches,,
Gökhan Sazdağı,tr TUR,DF,31-050,3,270,90,2025-03-27 00:00:00,3.0,3,90,3,0,,0,0.67,2,6,-4,-1.33,-0.21,Matches,,
Arif Kocaman,,DF,22-056,3,197,66,2025-09-19 00:00:00,2025-02-02 00:00:00,3,66,1,0,,3,0.33,1,8,-7,-3.20,-2.52,Matches,,
Yaw Ackah,gh GHA,MF,26-161,3,184,61,2025-06-18 00:00:00,2.0,2,77,0,1,31,0,0.67,1,3,-2,-0.98,+0.25,Matches,,
Majid Hosseini,ir IRN,DF,29-142,2,180,90,2025-02-18 00:00:00,2.0,2,90,2,0,,0,2.00,4,3,1,+0.50,+2.06,Matches,,
Onurcan Piri,tr TUR,GK,31-042,2,180,90,2025-02-18 00:00:00,2.0,2,90,2,0,,9,2.00,4,3,1,+0.50,+2.06,Matches,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,,
Youssef Aït Bennasser,ma MAR,MF,29-125,3,97,32,2025-08-09 00:00:00,2025-01-01 00:00:00,2,34,0,1,29,0,1933-01-01 00:00:00,1,3,-2,-1.86,-0.75,Matches,,
Nurettin Korkmaz,tr TUR,DF,23-135,5,140,28,2025-01-14 00:00:00,2025-06-01 00:00:00,1,71,0,4,17,5,0.60,1,5,-4,-2.57,-1.62,Matches,,
Kayra Cihan,,DF,18-040,4,96,24,2025-07-09 00:00:00,2025-01-01 00:00:00,1,45,0,3,17,3,0.75,2,5,-3,-2.81,-1.81,Matches,,
Burak Kapacak,tr TUR,DF,25-336,7,215,31,2025-07-21 00:00:00,2025-04-02 00:00:00,0,,0,7,31,4,0.86,5,6,-1,-0.42,+0.97,Matches,,
Mehmet Eray Özbek,,MF,22-304,3,60,20,2025-01-06 00:00:00,0.7,0,,0,3,20,3,1933-01-01 00:00:00,1,1,0,0.00,+1.26,Matches,,
Ali Karimi,ir IRN,MF,31-271,2,41,21,2025-01-04 00:00:00,0.5,0,,0,2,21,0,0.50,0,2,-2,-4.39,-3.35,Matches,,
Talha Sarıarslan,tr TUR,FW,21-295,3,27,9,2025-07-02 00:00:00,0.3,0,,0,3,9,7,0.67,2,2,0,0.00,+1.21,Matches,,
Yiğit Çeltik,tr TUR,MF,22-216,1,19,19,2025-09-01 00:00:00,0.2,0,,0,1,19,5,0.00,0,0,0,0.00,+1.20,Matches,,
Deniz Donmezer,,GK,17-049,0,,,,,0,,0,0,,2,,,,,,,Matches,,
Baran Gezek,tr TUR,MF,20-075,0,,,,,0,,0,0,,2,,,,,,,Matches,,
Arda Kaya,,MF,19-260,0,,,,,0,,0,0,,1,,,,,,,Matches,,
Mustafa Obut,,DF,18-279,0,,,,,0,,0,0,,1,,,,,,,Matches,,
Mehmet Öztürk,tr TUR,GK,20-184,0,,,,,0,,0,0,,2,,,,,,,Matches,,
Squad Total,,,2025-05-29 00:00:00,11,990,90,100,11.0,121,80,70,51,24,57,0.82,11,24,-13,-1.18,,,,
Opponent Total,,,2025-01-28 00:00:00,11,990,90,100,11.0,121,80,70,50,18,56,1964-01-01 00:00:00,24,11,13,+1.18,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Stats 2025-2026 Kayserispor: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,,,,,
Lionel Carole,fr FRA,DF,34-211,10.0,3,0,0,6,18,1,10,15,16,,,0,Matches,,,,,,
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",31-143,10.0,4,0,0,16,8,8,98,3,3,,,0,Matches,,,,,,
Stefano Denswil,sr SUR,DF,32-186,2025-07-09 00:00:00,1,0,0,6,7,0,0,7,3,,,0,Matches,,,,,,
Ramazan Civelek,tr TUR,"DF,MF",29-291,2025-02-09 00:00:00,2,0,0,13,10,0,18,7,7,,,0,Matches,,,,,,
Bilal Bayazit,nl NED,GK,26-215,9.0,2,0,0,1,1,0,0,0,0,,,0,Matches,,,,,,
László Bénes,sk SVK,MF,28-061,2025-01-08 00:00:00,0,1,0,13,8,0,43,7,6,,,0,Matches,,,,,,
Aaron Opoku,de GER,"MF,FW",26-226,2025-06-06 00:00:00,1,0,0,8,4,1,29,2,0,,,0,Matches,,,,,,
Dorukhan Toköz,tr TUR,MF,29-172,2025-06-06 00:00:00,3,0,0,15,5,0,1,13,6,,,0,Matches,,,,,,
João Mendes,pt POR,MF,31-019,2025-03-06 00:00:00,0,0,0,5,18,2,22,2,4,,,0,Matches,,,,,,
German Onugkha,ru RUS,FW,29-126,2025-02-06 00:00:00,2,0,0,7,8,1,0,0,1,,,0,Matches,,,,,,
Furkan Soyalp,tr TUR,MF,30-150,5.0,2,0,0,14,12,0,5,4,10,,,0,Matches,,,,,,
Abdulsamet Burak,,DF,29-180,2025-02-04 00:00:00,3,0,0,7,8,1,5,6,3,,,0,Matches,,,,,,
Carlos Mané,gw GNB,MF,31-243,2025-08-03 00:00:00,0,0,0,5,5,2,9,4,5,,,0,Matches,,,,,,
Gideon Jung,de GER,"MF,DF",31-058,2025-04-03 00:00:00,1,0,0,4,3,0,0,1,2,,,0,Matches,,,,,,
Indrit Tuci,al ALB,FW,25-056,4.0,1,0,0,11,6,2,1,1,1,,,0,Matches,,,,,,
Gökhan Sazdağı,tr TUR,DF,31-050,3.0,2,0,0,7,1,0,8,2,3,,,0,Matches,,,,,,
Arif Kocaman,,DF,22-056,2025-02-02 00:00:00,0,0,0,2,0,0,0,1,1,,,0,Matches,,,,,,
Yaw Ackah,gh GHA,MF,26-161,2.0,0,0,0,2,2,0,0,1,0,,,0,Matches,,,,,,
Majid Hosseini,ir IRN,DF,29-142,2.0,1,0,0,2,1,0,0,5,4,,,0,Matches,,,,,,
Onurcan Piri,tr TUR,GK,31-042,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches,,,,,,
Youssef Aït Bennasser,ma MAR,MF,29-125,2025-01-01 00:00:00,1,0,0,0,0,0,1,0,0,,,0,Matches,,,,,,
Nurettin Korkmaz,tr TUR,DF,23-135,2025-06-01 00:00:00,1,0,0,2,3,0,9,2,0,,,0,Matches,,,,,,
Kayra Cihan,,DF,18-040,2025-01-01 00:00:00,0,0,0,1,1,0,0,5,4,,,0,Matches,,,,,,
Burak Kapacak,tr TUR,DF,25-336,2025-04-02 00:00:00,0,0,0,4,4,0,16,1,7,,,0,Matches,,,,,,
Mehmet Eray Özbek,,MF,22-304,0.7,1,0,0,3,0,0,1,0,2,,,0,Matches,,,,,,
Ali Karimi,ir IRN,MF,31-271,0.5,0,0,0,0,0,0,1,0,2,,,0,Matches,,,,,,
Talha Sarıarslan,tr TUR,FW,21-295,0.3,0,0,0,0,0,1,0,1,1,,,0,Matches,,,,,,
Yiğit Çeltik,tr TUR,MF,22-216,0.2,0,0,0,0,1,0,1,0,1,,,0,Matches,,,,,,
Squad Total,,,2025-05-29 00:00:00,11.0,31,1,0,154,135,19,278,90,92,,,0,,,,,,,
Opponent Total,,,2025-01-28 00:00:00,11.0,21,2,0,148,149,28,165,103,87,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
