Shooting 2025-2026 Kocaelispor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Tayfur Bingöl,tr TUR,"MF,DF",32-302,9,746,83,75.4,2025-03-08 00:00:00,8,88,5,1,45,0,2022-01-01 00:00:00,8,11,-3,-0.36,+0.38,Matches
Show,ao ANG,MF,26-248,10,722,72,72.9,8.0,8,87,5,2,15,0,0.80,5,11,-6,-0.75,-1.08,Matches
Bruno Petković,hr CRO,FW,31-054,8,720,90,72.7,8.0,8,90,8,0,,0,0.63,5,12,-7,-0.87,-1.54,Matches
Botond Balogh,hu HUN,DF,23-156,7,624,89,63.0,2025-09-06 00:00:00,7,89,6,0,,0,1943-01-01 00:00:00,8,8,0,0.00,+1.23,Matches
Joseph Nonge,be BEL,MF,20-178,11,566,51,57.2,2025-03-06 00:00:00,7,72,0,4,16,0,1.00,5,7,-2,-0.32,+0.32,Matches
Hrvoje Smolčić,hr CRO,DF,25-084,6,510,85,51.5,2025-07-05 00:00:00,6,85,5,0,,0,1967-01-01 00:00:00,6,6,0,0.00,+0.94,Matches
Habib Keita,ml MLI,MF,23-277,6,477,80,48.2,2025-03-05 00:00:00,6,80,1,0,,0,1967-01-01 00:00:00,7,5,2,+0.38,+1.61,Matches
Ahmet Oğuz,tr TUR,DF,32-297,7,436,62,44.0,2025-08-04 00:00:00,5,80,3,2,18,1,1943-01-01 00:00:00,4,3,1,+0.21,+1.18,Matches
Massadio Haïdara,ml MLI,DF,32-342,5,391,78,39.5,2025-03-04 00:00:00,5,78,3,0,,0,0.60,1,5,-4,-0.92,-0.77,Matches
Karol Linetty,pl POL,MF,30-280,7,412,59,41.6,2025-06-04 00:00:00,4,81,1,3,29,1,1943-01-01 00:00:00,7,5,2,+0.44,+1.53,Matches
Can Keles,at AUT,"FW,MF",24-068,9,393,44,39.7,2025-04-04 00:00:00,4,75,1,5,19,0,2025-11-01 00:00:00,3,8,-5,-1.15,-1.15,Matches
Oleksandr Syrota,ua UKR,DF,25-151,4,360,90,36.4,4.0,4,90,4,0,,5,1.00,6,9,-3,-0.75,-0.46,Matches
Aaron Appindangoyé,ga GAB,DF,33-262,4,315,79,2025-08-31 00:00:00,2025-05-03 00:00:00,4,79,3,0,,0,0.25,1,5,-4,-1.14,-1.01,Matches
Ryan Mendes,cv CPV,FW,35-305,4,271,68,2025-04-27 00:00:00,3.0,4,68,2,0,,0,0.25,1,5,-4,-1.33,-1.20,Matches
Dan Agyei,eng ENG,MF,28-161,9,360,40,36.4,4.0,3,80,1,6,20,1,0.89,6,5,1,+0.25,+1.11,Matches
Muharrem Cinan,,DF,27-180,6,317,53,32.0,2025-05-03 00:00:00,3,90,3,3,16,5,1933-01-01 00:00:00,3,7,-4,-1.14,-1.00,Matches
Serdar Dursun,tr TUR,FW,34-021,6,289,48,29.2,2025-02-03 00:00:00,3,88,1,3,9,0,1967-01-01 00:00:00,6,3,3,+0.93,+1.96,Matches
Rigoberto Rivas,hn HON,MF,27-101,4,227,57,2025-09-22 00:00:00,2025-05-02 00:00:00,3,70,0,1,16,3,2025-01-01 00:00:00,3,4,-1,-0.40,+0.08,Matches
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Darko Churlinov,mk MKD,"MF,FW",25-121,5,226,45,2025-08-22 00:00:00,2025-05-02 00:00:00,3,56,0,2,30,0,0.80,2,4,-2,-0.80,-0.44,Matches
Samet Yalçın,,MF,31-251,6,212,35,2025-04-21 00:00:00,2025-04-02 00:00:00,3,64,0,3,7,3,1.00,0,2,-2,-0.85,-0.50,Matches
Oğulcan Çağlayan,tr TUR,FW,29-232,4,196,49,2025-08-19 00:00:00,2025-02-02 00:00:00,2,54,0,2,45,0,0.25,1,2,-1,-0.46,-0.01,Matches
Tarkan Serbest,tr TUR,MF,31-191,4,134,34,2025-05-13 00:00:00,2025-05-01 00:00:00,1,82,0,3,17,7,1.00,3,5,-2,-1.34,-1.03,Matches
Mateusz Wieteska,pl POL,DF,28-271,1,21,21,2025-01-02 00:00:00,0.2,1,21,0,0,,0,0.00,0,0,0,0.00,+0.46,Matches
Mesut Can Tunalı,,MF,24-124,1,45,45,2025-05-04 00:00:00,0.5,0,,0,1,45,2,0.00,0,1,-1,-2.00,-1.62,Matches
Furkan Gedik,,MF,23-120,3,15,5,2025-05-01 00:00:00,0.2,0,,0,3,5,7,0.00,0,0,0,0.00,+0.46,Matches
Cihat Çelik,nl NED,MF,29-311,2,13,7,2025-03-01 00:00:00,0.1,0,,0,2,7,2,0.00,0,0,0,0.00,+0.46,Matches
Gökhan Değirmenci,tr TUR,GK,36-233,0,,,0.0,0.0,0,,0,0,,10,0.00,1,3,-2,,,Matches
Ege Bilim,,,19-209,0,,,,,0,,0,0,,4,,,,,,,Matches
Bünyamin Dalkılıç,,FW,19-217,0,,,,,0,,0,0,,2,,,,,,,Matches
Onur Öztonga,,DF,25-307,0,,,,,0,,0,0,,3,,,,,,,Matches
Ahmet Sagat,de GER,FW,29-166,0,,,,,0,,0,0,,4,,,,,,,Matches
Squad Total,,,2025-08-28 00:00:00,11,990,90,100,11.0,121,81,70,49,20,60,1.00,10,15,-5,-0.45,,
Opponent Total,,,2025-05-28 00:00:00,11,990,90,100,11.0,121,81,68,53,21,57,1982-01-01 00:00:00,15,10,5,+0.45,,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Stats 2025-2026 Kocaelispor: Süper Lig,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,,,
Aleksandar Jovanović,rs SRB,GK,32-338,11.0,3,0,0,0,2,0,0,0,0,,,1,Matches,,,,
Anfernee Dijksteel,sr SUR,DF,29-013,2025-05-09 00:00:00,0,0,0,9,10,0,8,5,9,,,0,Matches,,,,
Tayfur Bingöl,tr TUR,"MF,DF",32-302,2025-03-08 00:00:00,2,0,0,13,20,5,7,11,10,,,0,Matches,,,,
