Goals,Unnamed: 1,Unnamed: 2,Unnamed: 3,Goals/90,Unnamed: 5,Unnamed: 6,Unnamed: 7,Assists,Unnamed: 9,Unnamed: 10,Unnamed: 11,Assists/90,Unnamed: 13,Unnamed: 14,Unnamed: 15,Goals + Assists,Unnamed: 17,Unnamed: 18,Unnamed: 19,Goals + Assists/90,Unnamed: 21,Unnamed: 22,Unnamed: 23,Penalty Kicks Made,Unnamed: 25,Unnamed: 26,Unnamed: 27,Non-Penalty Goals,Unnamed: 29,Unnamed: 30,Unnamed: 31,Non-Penalty Goals/90,Unnamed: 33,Unnamed: 34,Unnamed: 35,Non-Penalty Goals + Assists/90,Unnamed: 37,Unnamed: 38,Unnamed: 39,Shots Total,Unnamed: 41,Unnamed: 42,Unnamed: 43,Shots Total/90,Unnamed: 45,Unnamed: 46,Unnamed: 47,Shots on Target,Unnamed: 49,Unnamed: 50,Unnamed: 51,Shots on target/90,Unnamed: 53,Unnamed: 54,Unnamed: 55,Shots on Target %,Unnamed: 57,Unnamed: 58,Unnamed: 59,Goals/Shot,Unnamed: 61,Unnamed: 62,Unnamed: 63,Goals/Shot on Target,Unnamed: 65,Unnamed: 66,Unnamed: 67,Crosses,Unnamed: 69,Unnamed: 70,Unnamed: 71,Tackles Won,Unnamed: 73,Unnamed: 74,Unnamed: 75,Interceptions,Unnamed: 77,Unnamed: 78,Unnamed: 79,Minutes,Unnamed: 81,Unnamed: 82,Unnamed: 83,Substitute Appearances,Unnamed: 85,Unnamed: 86,Unnamed: 87,Points per Match,Unnamed: 89,Unnamed: 90,Unnamed: 91,Plus/Minus,Unnamed: 93,Unnamed: 94,Plus/Minus/90,Unnamed: 96,ouls Committed,Unnamed: 98,Unnamed: 99,Unnamed: 100,Fouls Drawn,Unnamed: 102,Unnamed: 103,Unnamed: 104,Own Goals,Unnamed: 106,Unnamed: 107,Unnamed: 108,Clean Sheets,Unnamed: 110,Unnamed: 111,Unnamed: 112,Clean Sheet Percentage,Unnamed: 114,Unnamed: 115,Unnamed: 116,Saves,Unnamed: 118,Unnamed: 119,Unnamed: 120,Save Percentage,Unnamed: 122,Unnamed: 123,Unnamed: 124,Goals Against/90,Unnamed: 126,Unnamed: 127
,Tammy Abraham • Beşiktaş,5.0,,,Victor Osimhen • Galatasaray,0.55,,,,,,,Kerem Aktürkoğlu • Fenerbahçe,0.37,,,Felipe Augusto • Trabzonspor,5.0,,,Efkan Bekiroğlu • Göztepe,0.67,,,Eldor Shomurodov • Başakşehir,1.0,,,Tayfur Bingöl • Kocaelispor,4.0,,,,,,,,,,,Anthony Musaba • Samsunspor,25.0,,,,,,,Umut Nayir • Konyaspor,11.0,,,,,,,Yusuf Özdemir • Alanyaspor,57.1,,,Carlo Holse • Samsunspor,0.26,,,Rick van Drongelen • Samsunspor,0.67,,,,,,,Roland Sallai • Galatasaray,17.0,,,Kévin Rodrigues • Gaziantep FK,16.0,,,,,,,Marius Ştefănescu • Konyaspor,7,,,Mauro Icardi • Galatasaray,1960-02-01 00:00:00,,,Milan Škriniar • Fenerbahçe,12.0,,,,Pedro Pereira • Gençlerbirliği,21.0,,,Paul Onuachu • Trabzonspor,20.0,,,Kévin Rodrigues • Gaziantep FK,1.0,,,Mustafa Burak Bozan • Gaziantep FK,2.0,,,,,,,Mustafa Burak Bozan • Gaziantep FK,28.0,,,,,,,,
,,,,,Umut Nayir • Konyaspor,0.55,,,,,,,,,,,Barış Alper Yılmaz • Galatasaray,5.0,,,Emrecan Bulut • Rizespor,0.67,,,Florent Hadergjonaj • Alanyaspor,1.0,,,Tammy Abraham • Beşiktaş,4.0,,,,,,,,,,,Miguel Filipe Nunes Cardoso • Kayserispor,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taylan Antalyalı • Rizespor,7,,,Lucas Torreira • Galatasaray,1960-02-01 00:00:00,,,Barış Alper Yılmaz • Galatasaray,12.0,,,,,,,,,,,,,,,,Abdullah Yiğiter • Antalyaspor,2.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Talisca • Fenerbahçe,5.0,,,,,,,Marius Mouandilmadji • Samsunspor,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Bjørlo • Konyaspor,7,,,Eren Elmalı • Galatasaray,1960-02-01 00:00:00,,,Paul Onuachu • Trabzonspor,12.0,,,,,,,,,,,,,,,,Andreas Gianniotis • Kasımpaşa,2.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Alassane Ndao • Konyaspor,5.0,,,,,,,Enis Bardhi • Konyaspor,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İsmail Köybaşı • Göztepe,7,,,,,,,Nélson Semedo • Fenerbahçe,12.0,,,,,,,,,,,,,,,,Erdem Canpolat • Rizespor,2.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Juan Santos • Göztepe,5.0,,,,,,,Tammy Abraham • Beşiktaş,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Jakobs • Galatasaray,7,,,,,,,,,,,,,,,,,,,,,,,,Aleksandar Jovanović • Kocaelispor,2.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Václav Černý • Beşiktaş,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastian Szymański • Fenerbahçe,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novatus Dismas • Göztepe,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinan Osmanoğlu • Gençlerbirliği,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edin Višća • Trabzonspor,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Sabra • Göztepe,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deniz Turuc • Başakşehir,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Mendes • Samsunspor,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
