Goalkeeping 2025-2026 Fatih Karagümrük: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Opponent Total,,,2025-08-27 00:00:00,11.0,19,165,69,41.8,15.00,2027-06-01 00:00:00,0.10,0.23,,3,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
Become a Stathead & surf this site ad-free.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Playing Time 2025-2026 Fatih Karagümrük: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,,
Atakan Çankaya,tr TUR,DF,27-137,11,990,90,100.0,11.0,11,90,11,0,,0,0.36,10,23,-13,-1.18,,Matches,,
Ivo Grbić,hr CRO,GK,29-295,11,990,90,100.0,11.0,11,90,11,0,,0,0.36,10,23,-13,-1.18,,Matches,,
Jure Balkovec,si SVN,DF,31-061,10,881,88,89.0,2025-08-09 00:00:00,10,88,7,0,,0,0.30,8,21,-13,-1.33,-1.33,Matches,,
Daniel Johnson,jm JAM,MF,33-032,10,789,79,79.7,2025-08-08 00:00:00,9,86,7,1,15,1,0.40,9,20,-11,-1.25,-0.36,Matches,,
Tiago Çukur,tr TUR,"MF,FW",22-344,9,756,84,76.4,2025-04-08 00:00:00,9,84,7,0,,1,0.33,8,17,-9,-1.07,+0.47,Matches,,
Anıl Çınar,,DF,22-122,7,627,90,63.3,7.0,7,90,5,0,,4,0.57,6,11,-5,-0.72,+1.27,Matches,,
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",30-217,10,621,62,62.7,2025-09-06 00:00:00,7,75,0,3,33,1,0.40,6,13,-7,-1.01,+0.45,Matches,,
Berkay Özcan,tr TUR,MF,27-267,10,585,59,59.1,2025-05-06 00:00:00,7,75,0,3,21,0,0.40,5,12,-7,-1.08,+0.26,Matches,,
Andre Gray,jm JAM,FW,34-136,9,456,51,46.1,2025-01-05 00:00:00,6,70,1,3,13,2,0.44,3,10,-7,-1.38,-0.37,Matches,,
Sam Larsson,se SWE,MF,32-213,6,440,73,44.4,2025-09-04 00:00:00,5,81,3,1,34,0,0.17,7,11,-4,-0.82,+0.65,Matches,,
Marius Doh,ci CIV,MF,21-327,9,418,46,42.2,2025-06-04 00:00:00,5,67,1,4,21,0,0.11,2,10,-8,-1.72,-0.94,Matches,,
Muhammed Kadıoğlu,,DF,18-312,6,405,68,40.9,2025-05-04 00:00:00,4,79,3,2,45,3,0.50,5,7,-2,-0.44,+1.25,Matches,,
Barış Kalayci,tr TUR,MF,20-071,8,335,42,33.8,2025-07-03 00:00:00,4,72,1,4,12,3,0.50,3,6,-3,-0.81,+0.57,Matches,,
David Datro Fofana,ci CIV,FW,22-322,6,363,61,36.7,4.0,3,90,3,3,31,0,0.17,6,9,-3,-0.74,+0.69,Matches,,
Çağtay Kurukalıp,tr TUR,DF,23-258,7,265,38,2025-08-26 00:00:00,2025-09-02 00:00:00,3,75,2,4,10,4,0.57,3,6,-3,-1.02,+0.22,Matches,,
Ahmet Sivri,,"MF,FW",26-126,7,261,37,2025-04-26 00:00:00,2025-09-02 00:00:00,3,70,0,4,13,0,0.14,3,6,-3,-1.03,+0.20,Matches,,
Matías Kranevitter,ar ARG,MF,32-172,3,238,79,24.0,2025-06-02 00:00:00,3,79,1,0,,0,0.33,3,5,-2,-0.76,+0.56,Matches,,
Ricardo Esgaio,pt POR,"DF,MF",32-177,3,225,75,2025-07-22 00:00:00,2025-05-02 00:00:00,3,75,2,0,,0,0.00,3,7,-4,-1.60,-0.54,Matches,,
Enzo Roco,cl CHI,DF,33-085,3,225,75,2025-07-22 00:00:00,2025-05-02 00:00:00,3,75,2,0,,0,0.33,2,5,-3,-1.20,-0.02,Matches,,
Tarık Kalpaklı,,MF,16-217,7,268,38,2025-01-27 00:00:00,3.0,2,58,0,5,31,2,0.43,3,4,-1,-0.34,+1.16,Matches,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,,
Fatih Kuruçuk,tr TUR,DF,27-292,3,181,60,2025-03-18 00:00:00,2.0,2,90,2,1,1,0,1.00,1,5,-4,-1.99,-0.99,Matches,,
Nikoloz Ugrekhelidze,ge GEO,DF,22-086,4,180,45,2025-02-18 00:00:00,2.0,2,89,1,2,2,6,0.75,2,7,-5,-2.50,-1.61,Matches,,
João Pedro Gomes Camacho,pt POR,MF,31-139,5,165,33,2025-07-16 00:00:00,2025-08-01 00:00:00,1,45,0,4,30,0,0.00,1,9,-8,-4.36,-3.82,Matches,,
Alper Demirol,se SWE,MF,23-039,3,72,24,2025-03-07 00:00:00,0.8,1,61,0,2,6,4,1.00,1,1,0,0.00,+1.27,Matches,,
Ömer Gümüş,,MF,22-125,2,73,37,2025-04-07 00:00:00,0.8,0,,0,2,37,4,0.00,0,3,-3,-3.70,-2.72,Matches,,
Tuğbey Akgün,tr TUR,MF,22-214,1,5,5,0.5,0.1,0,,0,1,5,2,0.00,0,0,0,0.00,+1.19,Matches,,
Furkan Bekleviç,tr TUR,GK,26-282,0,,,,,0,,0,0,,11,,,,,,,Matches,,
Burhan Ersoy,,MF,22-149,0,,,,,0,,0,0,,1,,,,,,,Matches,,
Kerem Özmen,,MF,17-247,0,,,,,0,,0,0,,1,,,,,,,Matches,,
Kerem Yandal,,GK,19-184,0,,,,,0,,0,0,,4,,,,,,,Matches,,
Squad Total,,,2025-04-27 00:00:00,11,990,90,100,11.0,121,81,70,49,21,54,0.36,10,23,-13,-1.18,,,,
Opponent Total,,,2025-08-27 00:00:00,11,990,90,100,11.0,121,81,67,52,18,57,1955-02-01 00:00:00,23,10,13,+1.18,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Stats 2025-2026 Fatih Karagümrük: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,,,,,
Atakan Çankaya,tr TUR,DF,27-137,11.0,3,0,0,18,30,1,10,14,15,,,0,Matches,,,,,,
Ivo Grbić,hr CRO,GK,29-295,11.0,0,0,0,0,0,0,0,1,1,,,0,Matches,,,,,,
Jure Balkovec,si SVN,DF,31-061,2025-08-09 00:00:00,5,1,1,13,13,0,20,9,8,,,0,Matches,,,,,,
Daniel Johnson,jm JAM,MF,33-032,2025-08-08 00:00:00,1,0,0,10,5,1,27,7,2,,,0,Matches,,,,,,
Tiago Çukur,tr TUR,"MF,FW",22-344,2025-04-08 00:00:00,2,0,0,9,4,0,10,2,5,,,0,Matches,,,,,,
Anıl Çınar,,DF,22-122,7.0,2,0,0,10,11,0,0,8,4,,,2,Matches,,,,,,
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",30-217,2025-09-06 00:00:00,0,0,0,10,19,7,9,1,5,,,0,Matches,,,,,,
Berkay Özcan,tr TUR,MF,27-267,2025-05-06 00:00:00,1,0,0,7,8,0,10,4,5,,,0,Matches,,,,,,
Andre Gray,jm JAM,FW,34-136,2025-01-05 00:00:00,0,0,0,6,3,4,5,0,1,,,0,Matches,,,,,,
Sam Larsson,se SWE,MF,32-213,2025-09-04 00:00:00,0,0,0,5,3,0,13,6,2,,,0,Matches,,,,,,
Marius Doh,ci CIV,MF,21-327,2025-06-04 00:00:00,1,1,0,7,14,0,7,11,8,,,0,Matches,,,,,,
Muhammed Kadıoğlu,,DF,18-312,2025-05-04 00:00:00,1,0,0,4,3,0,2,7,3,,,1,Matches,,,,,,
Barış Kalayci,tr TUR,MF,20-071,2025-07-03 00:00:00,1,0,0,3,11,2,7,3,2,,,0,Matches,,,,,,
David Datro Fofana,ci CIV,FW,22-322,4.0,0,0,0,6,6,2,0,2,1,,,0,Matches,,,,,,
Çağtay Kurukalıp,tr TUR,DF,23-258,2025-09-02 00:00:00,0,0,0,3,7,1,10,6,6,,,0,Matches,,,,,,
Ahmet Sivri,,"MF,FW",26-126,2025-09-02 00:00:00,0,0,0,12,3,0,7,4,2,,,0,Matches,,,,,,
Matías Kranevitter,ar ARG,MF,32-172,2025-06-02 00:00:00,1,0,0,6,1,0,0,1,3,,,0,Matches,,,,,,
Ricardo Esgaio,pt POR,"DF,MF",32-177,2025-05-02 00:00:00,1,0,0,2,2,0,5,0,3,,,0,Matches,,,,,,
Enzo Roco,cl CHI,DF,33-085,2025-05-02 00:00:00,2,0,0,6,1,1,0,2,2,,,0,Matches,,,,,,
Tarık Kalpaklı,,MF,16-217,3.0,1,0,0,9,2,3,2,1,3,,,0,Matches,,,,,,
Fatih Kuruçuk,tr TUR,DF,27-292,2.0,1,0,0,1,3,0,0,0,1,,,1,Matches,,,,,,
Nikoloz Ugrekhelidze,ge GEO,DF,22-086,2.0,1,0,0,6,3,0,0,5,1,,,0,Matches,,,,,,
João Pedro Gomes Camacho,pt POR,MF,31-139,2025-08-01 00:00:00,0,0,0,3,5,2,3,2,1,,,0,Matches,,,,,,
Alper Demirol,se SWE,MF,23-039,0.8,0,0,0,0,2,0,0,0,0,,,0,Matches,,,,,,
Ömer Gümüş,,MF,22-125,0.8,0,0,0,1,0,0,5,0,1,,,0,Matches,,,,,,
Tuğbey Akgün,tr TUR,MF,22-214,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,,,,,,
Squad Total,,,2025-04-27 00:00:00,11.0,24,2,1,158,159,24,152,96,85,,,4,,,,,,,
Opponent Total,,,2025-08-27 00:00:00,11.0,24,2,1,167,148,23,199,118,128,,,1,,,,,,,
