Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender
Deniz Dilmen,Basaksehir,GK,0.0,0.0,0.0,GK,False,False
Davie Selke,Basaksehir,FW,0.0,0.0,0.0,FW,True,False
Ömer Faruk Beyaz,Basaksehir,MF,0.0,0.0,0.0,MF,True,True
Bertuğ Yıldırım,Basaksehir,FW,0.0,0.0,0.0,FW,True,False
Doğan Alemdar,Basaksehir,GK,,,,GK,False,False
Berkay Aslan,Basaksehir,MF,,,,MF,True,True
Volkan Babacan,Basaksehir,GK,,,,GK,False,False
Luca Stančič,Basaksehir,GK,,,,GK,False,False
Opponent Total,Basaksehir,NAN,0.83,0.67,,NAN,False,False
Tammy Abraham,Besiktas,FW,0.51,0.1,0.61,FW,True,False
Wilfred Ndidi,Besiktas,MF,0.11,0.0,0.11,MF,True,True
Rafa Silva,Besiktas,MF,0.55,0.11,0.66,MF,True,True
Orkun Kökçü,Besiktas,MF,0.0,0.22,0.22,MF,True,True
Mert Günok,Besiktas,GK,0.0,0.0,0.0,GK,False,False
Emir Topçu,Besiktas,DF,0.13,0.0,0.13,DF,False,True
Václav Černý,Besiktas,MF,0.16,0.64,0.8,MF,True,True
El Bilal Touré,Besiktas,"MF,FW",0.27,0.27,0.54,MF,True,True
Tiago Djaló,Besiktas,DF,0.14,0.0,0.14,DF,False,True
Gökhan Sazdağı,Besiktas,DF,0.0,0.0,0.0,DF,False,True
David Jurásek,Besiktas,DF,0.0,0.0,0.0,DF,False,True
Ohis Felix Uduokhai,Besiktas,DF,0.0,0.0,0.0,DF,False,True
Rıdvan Yılmaz,Besiktas,DF,0.0,0.0,0.0,DF,False,True
Gabriel Paulista,Besiktas,DF,0.0,0.2,0.2,DF,False,True
Ersin Destanoğlu,Besiktas,GK,0.0,0.0,0.0,GK,False,False
Cengiz Ünder,Besiktas,MF,0.78,0.26,,MF,True,True
Jonas Svensson,Besiktas,DF,0.0,0.0,0.0,DF,False,True
Milot Rashica,Besiktas,MF,0.0,0.25,0.25,MF,True,True
Salih Uçan,Besiktas,MF,0.0,0.0,0.0,MF,True,True
Devrim Şahin,Besiktas,MF,0.0,0.0,0.0,MF,True,True
Demir Ege Tıknaz,Besiktas,MF,0.0,0.46,0.46,MF,True,True
Kartal Yılmaz,Besiktas,MF,0.0,0.0,0.0,MF,True,True
João Mário,Besiktas,MF,0.0,0.0,0.0,MF,True,True
Taylan Bulut,Besiktas,DF,0.0,0.0,0.0,DF,False,True
Necip Uysal,Besiktas,MF,0.0,0.0,0.0,MF,True,True
Ernest Muçi,Besiktas,MF,0.0,0.0,0.0,MF,True,True
Jota Silva,Besiktas,FW,0.76,0.0,0.76,FW,True,False
Mustafa Hekimoğlu,Besiktas,FW,0.0,0.0,0.0,FW,True,False
Serkan Terzi,Besiktas,DF,0.0,0.0,0.0,DF,False,True
Tayyib Talha Sanuç,Besiktas,DF,0.0,0.0,0.0,DF,False,True
Keny Arroyo,Besiktas,MF,,,,MF,True,True
Emre Bilgin,Besiktas,GK,,,,GK,False,False
Amir Hadžiahmetović,Besiktas,MF,,,,MF,True,True
Emrecan Uzunhan,Besiktas,MF,,,,MF,True,True
