Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender,TeamSheet,FM_Mevki,FM_Rol,FM_Rol_Base,FM_Rol_Gorev
Hasan İlçin,Antalya,MF,0.0,0.0,0.0,MF,True,True,Antalya,,,,
Jakub Kałuziński,Antalya,MF,0.0,0.0,0.0,MF,True,True,Antalya,,,,
Samuel Ballet,Antalya,MF,0.0,0.0,0.0,MF,True,True,Antalya,Sağ Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Samet Karakoç,Antalya,DF,0.0,0.0,0.0,DF,False,True,Antalya,,,,
Doğukan Sınık,Antalya,MF,0.0,0.0,0.0,MF,True,True,Antalya,,,,
Bachir Gueye,Antalya,FW,2.0,0.0,2.0,FW,True,False,Antalya,,,,
Bahadır Öztürk,Antalya,DF,0.0,0.0,0.0,DF,False,True,Antalya,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Engin Yıldırım,Antalya,FW,0.0,0.0,0.0,FW,True,False,Antalya,,,,
Hüseyin Türkmen,Antalya,DF,0.0,0.0,0.0,DF,False,True,Antalya,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Mert Yilmaz,Antalya,"DF,MF",0.0,0.0,0.0,DF,False,True,Antalya,,,,
Kerem Kayaarası,Antalya,FW,0.0,0.0,0.0,FW,True,False,Antalya,,,,
Ali Demirbilek,Antalya,FW,0.0,0.0,0.0,FW,True,False,Antalya,,,,
Alp Abay,Antalya,NAN,,,,NAN,False,False,Antalya,,,,
Kagan Arican,Antalya,GK,,,,GK,False,False,Antalya,,,,
Mehmet Dadakdeniz,Antalya,GK,,,,GK,False,False,Antalya,,,,
Ege Izmirli,Antalya,DF,,,,DF,False,True,Antalya,,,,
Berkay Topdemir,Antalya,FW,,,,FW,True,False,Antalya,,,,
Opponent Total,Antalya,NAN,,,,NAN,False,False,Antalya,,,,
Eldor Shomurodov,Basaksehir,"FW,MF",0.69,0.09,0.77,FW,True,False,Başakşehir,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Jerome Opoku,Basaksehir,DF,0.0,0.0,0.0,DF,False,True,Başakşehir,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Muhammed Şengezer,Basaksehir,GK,0.0,0.0,0.0,GK,False,False,Başakşehir,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Crespo,Basaksehir,"MF,FW",0.0,0.43,0.43,MF,True,True,Başakşehir,,,,
Christopher Operi,Basaksehir,"DF,MF",0.0,0.0,0.0,DF,False,True,Başakşehir,Sol Bek,Standart Bek (Hücum),Standart Bek,Hücum
Berat Özdemir,Basaksehir,"MF,DF",0.0,0.0,0.0,MF,True,True,Başakşehir,Ön Libero,Gizli Libero,Gizli Libero,
Yusuf Sari,Basaksehir,MF,0.0,0.14,0.14,MF,True,True,Başakşehir,,,,
Festy Ebosele,Basaksehir,DF,0.0,0.0,0.0,DF,False,True,Başakşehir,Sağ Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Léo Duarte,Basaksehir,DF,0.0,0.0,0.0,DF,False,True,Başakşehir,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Olivier Kemen,Basaksehir,MF,0.0,0.17,0.17,MF,True,True,Başakşehir,Merkez Orta Saha,Savaşçı Orta Saha (Destek),Savaşçı Orta Saha,Destek
Nuno da Costa,Basaksehir,"MF,FW",0.34,0.0,0.34,MF,True,True,Başakşehir,,,,
Ousseynou Ba,Basaksehir,DF,0.0,0.0,0.0,DF,False,True,Başakşehir,Stoper,Çakılı Stoper,Çakılı Stoper,
Umut Güneş,Basaksehir,MF,0.0,0.0,0.0,MF,True,True,Başakşehir,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Deniz Turuc,Basaksehir,MF,0.0,0.19,0.19,MF,True,True,Başakşehir,,,,
Onur Bulut,Basaksehir,DF,0.0,0.0,0.0,DF,False,True,Başakşehir,Sağ Bek,Çalışkan Kanat Oyuncusu (Destek),Çalışkan Kanat Oyuncusu,Destek
Ömer Ali Şahiner,Basaksehir,"DF,MF",0.0,0.0,0.0,DF,False,True,Başakşehir,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Ivan Brnić,Basaksehir,MF,0.5,0.0,0.5,MF,True,True,Başakşehir,,,,
Amine Harit,Basaksehir,MF,0.0,0.31,0.31,MF,True,True,Başakşehir,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Jakub Kałuziński,Basaksehir,MF,0.0,0.0,0.0,MF,True,True,Başakşehir,,,,
