Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender,TeamSheet,FM_Mevki,FM_Rol,FM_Rol_Base,FM_Rol_Gorev
Fred,fenerbahce,MF,0.4,0.4,0.1,MF,True,True,Fenerbahçe,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Edson Álvarez,fenerbahce,MF,0.0,0.0,0.0,MF,True,True,Fenerbahçe,Ön Libero,Gizli Libero,Gizli Libero,
Sebastian Szymański,fenerbahce,"MF,FW",0.1,0.1,0.4,MF,True,True,Fenerbahçe,On Numara,Gizli Forvet,Gizli Forvet,
Oğuz Aydın,fenerbahce,FW,0.0,0.0,0.0,FW,True,False,Fenerbahçe,Sol Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Çağlar Söyüncü,fenerbahce,DF,0.0,0.0,0.0,DF,False,True,Fenerbahçe,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Levent Mercan,fenerbahce,DF,,,,DF,False,True,Fenerbahçe,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
İrfan Kahveci,fenerbahce,"MF,FW",0.0,0.0,0.0,MF,True,True,Fenerbahçe,,,,
Jáder Durán,fenerbahce,FW,0.2,0.2,0.1,FW,True,False,Fenerbahçe,,,,
İrfan Can Eğribayat,fenerbahce,GK,,,,GK,False,False,Fenerbahçe,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Mert Müldür,fenerbahce,DF,,,,DF,False,True,Fenerbahçe,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Tarık Çetin,fenerbahce,GK,,,,GK,False,False,Fenerbahçe,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Sofyan Amrabat,fenerbahce,MF,,,,MF,True,True,Fenerbahçe,,,,
Yusuf Akçiçek,fenerbahce,DF,,,,DF,False,True,Fenerbahçe,,,,
Dominik Livaković,fenerbahce,GK,,,,GK,False,False,Fenerbahçe,,,,
Bartuğ Elmaz,fenerbahce,MF,,,,MF,True,True,Fenerbahçe,Ön Libero,Defansif Orta Saha (Destek),Defansif Orta Saha,Destek
Cenk Tosun,fenerbahce,MF,0.0,0.0,0.0,MF,True,True,Fenerbahçe,Santrafor,Yardımcı Forvet (Destek),Yardımcı Forvet,Destek
Cengiz Ünder,fenerbahce,"FW,MF",,,,FW,True,False,Fenerbahçe,,,,
Rodrigo Becão,fenerbahce,DF,,,,DF,False,True,Fenerbahçe,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Alexander Djiku,fenerbahce,"DF,MF",,,,DF,False,True,Fenerbahçe,,,,
Engin Biterge,fenerbahce,GK,,,,GK,False,False,Fenerbahçe,,,,
Yiğit Efe Demir,fenerbahce,DF,,,,DF,False,True,Fenerbahçe,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Mert Yandaş,fenerbahce,MF,,,,MF,True,True,Fenerbahçe,,,,
Abdülkerim Bardakcı,Galatasayar,DF,0.2,0.2,0.0,DF,False,True,Galatasaray,Stoper,Pas Dağıtan Stoper (Sıkı Defans),Pas Dağıtan Stoper,Sıkı Defans
Roland Sallai,Galatasayar,"DF,FW",0.1,0.1,0.2,DF,False,True,Galatasaray,Sağ Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Lucas Torreira,Galatasayar,MF,0.1,0.1,0.0,MF,True,True,Galatasaray,Ön Libero,Ön Libero (Çapa),Ön Libero,Çapa
Leroy Sané,Galatasayar,"FW,MF",0.4,0.4,,FW,True,False,Galatasaray,Sağ Kanat,İçe Kat Eden Oyuncu (Hücum),İçe Kat Eden Oyuncu,Hücum
Davinson Sánchez,Galatasayar,DF,0.1,0.1,0.0,DF,False,True,Galatasaray,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Barış Alper Yılmaz,Galatasayar,"FW,MF",0.8,0.8,0.6,FW,True,False,Galatasaray,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Uğurcan Çakır,Galatasayar,GK,0.0,0.0,0.0,GK,False,False,Galatasaray,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Gabriel Sara,Galatasayar,MF,0.1,0.1,0.5,MF,True,True,Galatasaray,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Mario Lemina,Galatasayar,MF,0.0,0.0,0.3,MF,True,True,Galatasaray,Ön Libero,Savaşçı Orta Saha (Destek),Savaşçı Orta Saha,Destek
Yunus Akgün,Galatasayar,FW,0.6,0.6,0.5,FW,True,False,Galatasaray,Sağ Kanat,İçe Kat Eden Oyuncu (Destek),İçe Kat Eden Oyuncu,Destek
Eren Elmalı,Galatasayar,"DF,MF",0.1,0.1,0.0,DF,False,True,Galatasaray,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Victor Osimhen,Galatasayar,FW,6.0,,0.2,FW,True,False,Galatasaray,Santrafor,Komple Forvet (Hücum),Komple Forvet,Hücum
Ismail Jakobs,Galatasayar,DF,0.0,0.0,0.2,DF,False,True,Galatasaray,Sol Bek,Standart Bek (Hücum),Standart Bek,Hücum
Mauro Icardi,Galatasayar,FW,0.4,0.4,0.0,FW,True,False,Galatasaray,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Wilfried Singo,Galatasayar,DF,0.0,0.0,0.1,DF,False,True,Galatasaray,Sağ Bek,İki Yönlü Bek,İki Yönlü Bek,
İlkay Gündoğan,Galatasayar,MF,0.3,0.3,0.4,MF,True,True,Galatasaray,Merkez Orta Saha,Regista,Regista,
Günay Güvenç,Galatasayar,GK,,,,GK,False,False,Galatasaray,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Kaan Ayhan,Galatasayar,"MF,FW",0.0,0.0,0.0,MF,True,True,Galatasaray,Ön Libero,Gizli Libero,Gizli Libero,
Kazımcan Karataş,Galatasayar,DF,,,,DF,False,True,Galatasaray,Sol Bek,Standart Bek (Hücum),Standart Bek,Hücum
Ahmed Kutucu,Galatasayar,"FW,MF",0.0,0.0,0.0,FW,True,False,Galatasaray,Sol Kanat,Defansif Kanat Oyuncusu (Destek),Defansif Kanat Oyuncusu,Destek
Berkan Kutlu,Galatasayar,MF,0.0,0.0,0.0,MF,True,True,Galatasaray,Merkez Orta Saha,Savaşçı Orta Saha (Savunma),Savaşçı Orta Saha,Savunma
Nicolò Zaniolo,Galatasayar,"FW,MF",,,,FW,True,False,Galatasaray,,,,
Arda Ünyay,Galatasayar,DF,,,,DF,False,True,Galatasaray,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Yusuf Demir,Galatasayar,MF,,,,MF,True,True,Galatasaray,Sağ Kanat,Oyun Kurucu (Destek),Oyun Kurucu,Destek
Metehan Baltacı,Galatasayar,DF,,,,DF,False,True,Galatasaray,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Ahmet Şen,Galatasayar,GK,,,,GK,False,False,Galatasaray,,,,
Jankat Yilmaz,Galatasayar,GK,,,,GK,False,False,Galatasaray,,,,
Elias Jelert,Galatasayar,DF,,,,DF,False,True,Galatasaray,,,,
Gökdeniz Gürpüz,Galatasayar,MF,,,,MF,True,True,Galatasaray,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Furkan Koçak,Galatasayar,MF,,,,MF,True,True,Galatasaray,,,,
Çağrı Balta,Galatasayar,FW,,,,FW,True,False,Galatasaray,,,,
Kacper Kozłowski,Gaziantep,MF,0.26,0.09,0.35,MF,True,True,Gaziantep,,,,
Alexandru Maxim,Gaziantep,"MF,FW",0.18,0.45,0.63,MF,True,True,Gaziantep,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Kévin Rodrigues,Gaziantep,"DF,MF",0.18,0.09,0.28,DF,False,True,Gaziantep,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Myenty Abena,Gaziantep,DF,0.11,0.0,0.11,DF,False,True,Gaziantep,Stoper,Çakılı Stoper,Çakılı Stoper,
Mustafa Burak Bozan,Gaziantep,GK,0.0,0.11,0.11,GK,False,False,Gaziantep,,,,
Melih Kabasakal,Gaziantep,"MF,DF",0.12,0.12,0.24,MF,True,True,Gaziantep,Ön Libero,Defansif Orta Saha (Savunma),Defansif Orta Saha,Savunma
Arda Kızıldağ,Gaziantep,"DF,MF",0.13,0.0,0.13,DF,False,True,Gaziantep,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Christopher Lungoyi,Gaziantep,"MF,FW",0.27,0.27,0.53,MF,True,True,Gaziantep,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Luis Pérez,Gaziantep,"MF,DF",0.0,0.0,0.0,MF,True,True,Gaziantep,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Deian Sorescu,Gaziantep,"MF,DF",0.14,0.0,0.14,MF,True,True,Gaziantep,Sağ Kanat,Çalışkan Kanat Oyuncusu (Hücum),Çalışkan Kanat Oyuncusu,Hücum
Mohamed Lamine Bayo,Gaziantep,"FW,MF",0.34,0.0,0.34,FW,True,False,Gaziantep,,,,
Drissa Camara,Gaziantep,MF,0.18,0.36,0.53,MF,True,True,Gaziantep,Merkez Orta Saha,Savaşçı Orta Saha (Destek),Savaşçı Orta Saha,Destek
Tayyib Talha Sanuç,Gaziantep,"DF,MF",0.0,0.0,0.0,DF,False,True,Gaziantep,,,,
Semih Güler,Gaziantep,DF,0.0,0.0,0.0,DF,False,True,Gaziantep,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Badou Ndiaye,Gaziantep,MF,0.0,0.26,0.26,MF,True,True,Gaziantep,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Emmanuel Boateng,Gaziantep,FW,0.0,0.0,0.0,FW,True,False,Gaziantep,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Ogün Özçiçek,Gaziantep,MF,0.0,0.0,0.0,MF,True,True,Gaziantep,Ön Libero,Defansif Orta Saha (Destek),Defansif Orta Saha,Destek
Zafer Görgen,Gaziantep,GK,0.0,0.0,0.0,GK,False,False,Gaziantep,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Yusuf Kabadayı,Gaziantep,"MF,FW",0.43,0.0,0.43,MF,True,True,Gaziantep,Sol Kanat,İçe Kat Eden Oyuncu (Hücum),İçe Kat Eden Oyuncu,Hücum
Juninho Bacuna,Gaziantep,MF,0.0,0.0,0.0,MF,True,True,Gaziantep,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Enver Kulasin,Gaziantep,MF,0.0,0.0,0.0,MF,True,True,Gaziantep,Sağ Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Nazim Sangaré,Gaziantep,DF,0.0,0.0,0.0,DF,False,True,Gaziantep,,,,
Salem M'bakata,Gaziantep,DF,0.0,0.0,0.0,DF,False,True,Gaziantep,,,,
Ali Kalın,Gaziantep,FW,0.0,0.0,0.0,FW,True,False,Gaziantep,,,,
Mirza Cihan,Gaziantep,FW,0.0,0.0,0.0,FW,True,False,Gaziantep,,,,
Sokratis Dioudis,Gaziantep,GK,0.0,0.0,0.0,GK,False,False,Gaziantep,,,,
Rob Nizet,Gaziantep,DF,0.0,0.0,0.0,DF,False,True,Gaziantep,Sol Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
İbrahim Alkış,Gaziantep,GK,,,,GK,False,False,Gaziantep,,,,
Onur Başyiğit,Gaziantep,DF,,,,DF,False,True,Gaziantep,,,,
Kuzey Bulgulu,Gaziantep,NAN,,,,NAN,False,False,Gaziantep,,,,
Muhammet Güneş,Gaziantep,MF,,,,MF,True,True,Gaziantep,,,,
Berke Özçelik,Gaziantep,MF,,,,MF,True,True,Gaziantep,,,,
Opponent Total,Gaziantep,NAN,,0.92,,NAN,False,False,Gaziantep,,,,
Dimitris Goutas,genclerbirligi,DF,0.08,0.0,0.08,DF,False,True,Gençlerbirliği,,,,
Pedro Pereira,genclerbirligi,DF,0.0,0.0,0.0,DF,False,True,Gençlerbirliği,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Göktan Gürpüz,genclerbirligi,"MF,FW",0.0,0.21,0.21,MF,True,True,Gençlerbirliği,On Numara,Oyun Kurucu (Destek),Oyun Kurucu,Destek
Thalisson Kelven,genclerbirligi,DF,0.1,0.0,0.1,DF,False,True,Gençlerbirliği,,,,
Žan Žužek,genclerbirligi,"DF,MF",0.21,0.0,0.21,DF,False,True,Gençlerbirliği,,,,
Matěj Hanousek,genclerbirligi,DF,0.0,0.0,0.0,DF,False,True,Gençlerbirliği,,,,
M'Baye Niang,genclerbirligi,FW,0.25,0.25,0.5,FW,True,False,Gençlerbirliği,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Oğulcan Ülgün,genclerbirligi,MF,0.26,0.0,0.26,MF,True,True,Gençlerbirliği,Ön Libero,Defansif Orta Saha (Destek),Defansif Orta Saha,Destek
Erhan Erentürk,genclerbirligi,GK,0.0,0.0,0.0,GK,False,False,Gençlerbirliği,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Franco Tongya,genclerbirligi,"MF,FW",0.32,0.0,0.32,MF,True,True,Gençlerbirliği,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Tom Dele-Bashiru,genclerbirligi,MF,0.0,0.16,0.16,MF,True,True,Gençlerbirliği,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Sekou Koita,genclerbirligi,"MF,FW",0.0,0.0,0.0,MF,True,True,Gençlerbirliği,,,,
Metehan Mimaroğlu,genclerbirligi,"MF,FW",0.2,0.0,0.2,MF,True,True,Gençlerbirliği,Sol Kanat,Çalışkan Kanat Oyuncusu (Destek),Çalışkan Kanat Oyuncusu,Destek
Abdurrahim Dursun,genclerbirligi,"MF,DF",0.0,0.0,0.0,MF,True,True,Gençlerbirliği,Sol Bek,Standart Bek (Savunma),Standart Bek,Savunma
Gökhan Akkan,genclerbirligi,GK,0.0,0.0,0.0,GK,False,False,Gençlerbirliği,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Michał Nalepa,genclerbirligi,"MF,FW",0.0,0.0,0.0,MF,True,True,Gençlerbirliği,,,,
Adama Traoré,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,,,,
Moussa Kyabou,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,Ön Libero,Defansif Orta Saha (Savunma),Defansif Orta Saha,Savunma
Dal Varesanovic,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,On Numara,Ofansif Orta Saha (Hücum),Ofansif Orta Saha,Hücum
Samed Onur,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Henry Onyekuru,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,Sol Kanat,İçe Kat Eden Oyuncu (Hücum),İçe Kat Eden Oyuncu,Hücum
Ricardo Velho,genclerbirligi,GK,0.0,0.0,0.0,GK,False,False,Gençlerbirliği,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Daniel Popa,genclerbirligi,FW,0.0,0.0,0.0,FW,True,False,Gençlerbirliği,,,,
Fıratcan Üzüm,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Oghenekaro Etebo,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,,,,
Sinan Osmanoğlu,genclerbirligi,DF,0.0,0.0,0.0,DF,False,True,Gençlerbirliği,Stoper,Çakılı Stoper,Çakılı Stoper,
Kevin Csoboth,genclerbirligi,FW,0.0,0.0,0.0,FW,True,False,Gençlerbirliği,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Dilhan Demir,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True,Gençlerbirliği,Sağ Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Furkan Ayaz,genclerbirligi,NAN,0.0,0.0,0.0,NAN,False,False,Gençlerbirliği,,,,
Mehmet Akbal,genclerbirligi,MF,,,,MF,True,True,Gençlerbirliği,,,,
Yiğit Aydar,genclerbirligi,DF,,,,DF,False,True,Gençlerbirliği,,,,
Ebrar Aydın,genclerbirligi,GK,,,,GK,False,False,Gençlerbirliği,,,,
Mikail Okyar,genclerbirligi,MF,,,,MF,True,True,Gençlerbirliği,,,,
Yusuf Temel,genclerbirligi,FW,,,,FW,True,False,Gençlerbirliği,,,,
Opponent Total,genclerbirligi,NAN,,0.92,,NAN,False,False,Gençlerbirliği,,,,
Héliton,Göztepe,DF,0.0,0.08,0.08,DF,False,True,Göztepe,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Mateusz Lis,Göztepe,GK,0.0,0.0,0.0,GK,False,False,Göztepe,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Amine Cherni,Göztepe,MF,0.0,0.17,0.17,MF,True,True,Göztepe,Sol Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Arda Kurtulan,Göztepe,MF,0.0,0.09,0.09,MF,True,True,Göztepe,,,,
Janderson,Göztepe,FW,0.09,0.28,0.37,FW,True,False,Göztepe,Forvet,Yaratıcı Forvet,Yaratıcı Forvet,
Malcom Bokélé,Göztepe,DF,0.1,0.0,0.1,DF,False,True,Göztepe,,,,
Rhaldney,Göztepe,MF,0.1,0.1,0.2,MF,True,True,Göztepe,Ön Libero,Defansif Orta Saha (Destek),Defansif Orta Saha,Destek
Juan Santos,Göztepe,FW,0.52,0.0,0.52,FW,True,False,Göztepe,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Anthony Dennis,Göztepe,MF,0.21,0.0,0.21,MF,True,True,Göztepe,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Junior Olaitan,Göztepe,MF,0.17,0.0,0.17,MF,True,True,Göztepe,On Numara,Ofansif Orta Saha (Hücum),Ofansif Orta Saha,Hücum
Novatus Dismas,Göztepe,"MF,DF",0.0,0.15,0.15,MF,True,True,Göztepe,,,,
Efkan Bekiroğlu,Göztepe,MF,0.45,0.22,0.67,MF,True,True,Göztepe,On Numara,Oyun Kurucu (Destek),Oyun Kurucu,Destek
Allan Godói,Göztepe,DF,0.0,0.21,0.21,DF,False,True,Göztepe,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Taha Altıkardeş,Göztepe,DF,0.0,0.0,0.0,DF,False,True,Göztepe,Stoper,Pas Dağıtan Stoper (Sıkı Defans),Pas Dağıtan Stoper,Sıkı Defans
Furkan Bayır,Göztepe,DF,0.0,0.0,0.0,DF,False,True,Göztepe,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Emersonn,Göztepe,FW,0.72,0.0,0.72,FW,True,False,Göztepe,,,,
Ibrahim Sabra,Göztepe,FW,,0.0,,FW,True,False,Göztepe,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
İsmail Köybaşı,Göztepe,DF,0.0,0.0,0.0,DF,False,True,Göztepe,Sol Bek,Standart Bek (Savunma),Standart Bek,Savunma
Ahmed Ildiz,Göztepe,MF,0.0,0.0,0.0,MF,True,True,Göztepe,,,,
Ruan,Göztepe,"DF,MF",0.0,0.0,0.0,DF,False,True,Göztepe,,,,
Salem Bouajila,Göztepe,FW,0.0,0.0,0.0,FW,True,False,Göztepe,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Uğur Kaan Yıldız,Göztepe,DF,0.0,0.0,0.0,DF,False,True,Göztepe,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Ogün Bayrak,Göztepe,MF,,,,MF,True,True,Göztepe,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Tibet Durakçay,Göztepe,FW,,,,FW,True,False,Göztepe,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Ekrem Kılıçarslan,Göztepe,GK,,,,GK,False,False,Göztepe,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Nevzat Üzel,Göztepe,GK,,,,GK,False,False,Göztepe,,,,
Ege Yıldırım,Göztepe,DF,,,,DF,False,True,Göztepe,,,,
Opponent Total,Göztepe,NAN,0.5,0.25,0.75,NAN,False,False,Göztepe,,,,
Andreas Gianniotis,kasimpasa,GK,0.0,0.0,0.0,GK,False,False,Kasımpaşa,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Nicholas Opoku,kasimpasa,DF,0.0,0.0,0.0,DF,False,True,Kasımpaşa,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Andri Fannar Baldursson,kasimpasa,MF,0.0,0.0,0.0,MF,True,True,Kasımpaşa,Ön Libero,Defansif Oyun Kurucu (Destek),Defansif Oyun Kurucu,Destek
Attila Szalai,kasimpasa,DF,0.0,0.09,0.09,DF,False,True,Kasımpaşa,Stoper,Pas Dağıtan Stoper (Sıkı Defans),Pas Dağıtan Stoper,Sıkı Defans
Cláudio Winck,kasimpasa,DF,0.29,0.0,0.29,DF,False,True,Kasımpaşa,Sağ Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Godfried Frimpong,kasimpasa,"DF,MF",0.0,0.11,0.11,DF,False,True,Kasımpaşa,Sol Bek,Standart Bek (Hücum),Standart Bek,Hücum
Pape Habib Guèye,kasimpasa,FW,0.33,0.0,0.33,FW,True,False,Kasımpaşa,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Mortadha Ben Ouanes,kasimpasa,"MF,DF",0.11,0.45,0.56,MF,True,True,Kasımpaşa,Sol Kanat,Defansif Kanat Oyuncusu (Destek),Defansif Kanat Oyuncusu,Destek
Mamadou Fall,kasimpasa,"MF,FW",0.0,0.0,0.0,MF,True,True,Kasımpaşa,Sağ Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Haris Hajradinović,kasimpasa,MF,0.33,0.0,0.33,MF,True,True,Kasımpaşa,,,,
Cafú,kasimpasa,MF,0.0,0.0,0.0,MF,True,True,Kasımpaşa,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Cem Üstündag,kasimpasa,MF,0.0,0.0,0.0,MF,True,True,Kasımpaşa,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Ali Yavuz Kol,kasimpasa,MF,0.0,0.0,0.0,MF,True,True,Kasımpaşa,Sol Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Kubilay Kanatsızkuş,kasimpasa,FW,0.23,0.23,0.47,FW,True,False,Kasımpaşa,Santrafor,Çalışkan Forvet (Destek),Çalışkan Forvet,Destek
Fousseni Diabaté,kasimpasa,"MF,FW",0.0,0.0,0.0,MF,True,True,Kasımpaşa,Sağ Kanat,İçe Kat Eden Oyuncu (Destek),İçe Kat Eden Oyuncu,Destek
Jhon Espinoza,kasimpasa,DF,0.0,0.0,0.0,DF,False,True,Kasımpaşa,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Adam Arous,kasimpasa,DF,0.0,0.0,0.0,DF,False,True,Kasımpaşa,,,,
Yusuf Barasi,kasimpasa,MF,0.0,0.0,0.0,MF,True,True,Kasımpaşa,,,,
Atakan Müjde,kasimpasa,MF,0.0,,,MF,True,True,Kasımpaşa,Merkez Orta Saha,Savaşçı Orta Saha (Savunma),Savaşçı Orta Saha,Savunma
Emre Taşdemir,kasimpasa,DF,0.0,0.0,0.0,DF,False,True,Kasımpaşa,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Berk Yıldızlı,kasimpasa,FW,0.0,0.0,0.0,FW,True,False,Kasımpaşa,,,,
Adnan Aktas,kasimpasa,DF,,,,DF,False,True,Kasımpaşa,,,,
Ege Albayrak,kasimpasa,GK,,,,GK,False,False,Kasımpaşa,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Taylan Aydın,kasimpasa,DF,,,,DF,False,True,Kasımpaşa,,,,
Ali Emre Yanar,kasimpasa,GK,,,,GK,False,False,Kasımpaşa,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Yasin Eratilla,kasimpasa,FW,,,,FW,True,False,Kasımpaşa,,,,
Berkay Muratoğlu,kasimpasa,DF,,,,DF,False,True,Kasımpaşa,,,,
Loret Sadiku,kasimpasa,"DF,MF",,,,DF,False,True,Kasımpaşa,,,,
Emirhan Yigit,kasimpasa,MF,,,,MF,True,True,Kasımpaşa,,,,
Oğuzhan Yılmaz,kasimpasa,MF,,,,MF,True,True,Kasımpaşa,,,,
Opponent Total,kasimpasa,NAN,,,,NAN,False,False,Kasımpaşa,,,,
Lionel Carole,kayserispor,DF,0.0,0.0,0.0,DF,False,True,Kayserispor,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Miguel Filipe Nunes Cardoso,kayserispor,"MF,FW",0.2,0.1,0.3,MF,True,True,Kayserispor,,,,
Stefano Denswil,kayserispor,DF,0.1,0.0,0.1,DF,False,True,Kayserispor,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Ramazan Civelek,kayserispor,"DF,MF",0.0,0.11,0.11,DF,False,True,Kayserispor,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Bilal Bayazit,kayserispor,GK,0.0,0.0,0.0,GK,False,False,Kayserispor,,,,
László Bénes,kayserispor,MF,0.25,0.12,0.37,MF,True,True,Kayserispor,Merkez Orta Saha,Oyun Kurucu (Hücum),Oyun Kurucu,Hücum
Aaron Opoku,kayserispor,"MF,FW",0.0,0.15,0.15,MF,True,True,Kayserispor,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Dorukhan Toköz,kayserispor,MF,0.0,0.0,0.0,MF,True,True,Kayserispor,Ön Libero,Savaşçı Orta Saha (Destek),Savaşçı Orta Saha,Destek
João Mendes,kayserispor,MF,0.0,0.48,0.48,MF,True,True,Kayserispor,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
German Onugkha,kayserispor,FW,0.48,0.0,0.48,FW,True,False,Kayserispor,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Furkan Soyalp,kayserispor,MF,0.2,0.0,0.2,MF,True,True,Kayserispor,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Abdulsamet Burak,kayserispor,DF,0.0,0.0,0.0,DF,False,True,Kayserispor,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Carlos Mané,kayserispor,MF,0.0,0.0,0.0,MF,True,True,Kayserispor,Sağ Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Gideon Jung,kayserispor,"MF,DF",0.0,0.0,0.0,MF,True,True,Kayserispor,Stoper,Çakılı Stoper,Çakılı Stoper,
Indrit Tuci,kayserispor,FW,0.5,0.0,0.5,FW,True,False,Kayserispor,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Gökhan Sazdağı,kayserispor,DF,0.0,0.0,0.0,DF,False,True,Kayserispor,,,,
Arif Kocaman,kayserispor,DF,0.0,0.0,0.0,DF,False,True,Kayserispor,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Yaw Ackah,kayserispor,MF,0.0,0.0,0.0,MF,True,True,Kayserispor,Ön Libero,Defansif Orta Saha (Savunma),Defansif Orta Saha,Savunma
Majid Hosseini,kayserispor,DF,0.0,0.0,0.0,DF,False,True,Kayserispor,Stoper,Pas Dağıtan Stoper (Sıkı Defans),Pas Dağıtan Stoper,Sıkı Defans
